Date,Customer_ID,Product_Category,Product_Name,Units_Sold,Unit_Price,Region,Sales_Rep,Revenue
2023-11-24,CUST1083,Furniture,Phone,5,1249,East,Alice,6245
2023-12-19,CUST1069,Furniture,T-Shirt,9,1574,East,Diana,14166
2023-10-13,CUST1001,Furniture,Chair,12,272,North,Alice,3264
2023-04-23,CUST1011,Clothing,Table,1,752,North,Bob,752
2023-12-17,CUST1096,Furniture,Pen,1,853,South,Ethan,853
2023-06-16,CUST1030,Electronics,T-Shirt,15,1343,South,Charlie,20145
2023-01-29,CUST1021,Stationery,Pen,2,1761,East,Diana,3522
2023-04-28,CUST1052,Furniture,Notebook,16,1181,East,Ethan,18896
2023-01-17,CUST1062,Furniture,Notebook,8,1783,East,Charlie,14264
2023-06-11,CUST1061,Clothing,Laptop,13,575,South,Charlie,7475
2023-07-25,CUST1027,Furniture,Pen,1,555,West,Alice,555
2023-05-18,CUST1051,Furniture,Table,16,928,West,Bob,14848
2023-02-03,CUST1007,Furniture,Phone,7,994,South,Bob,6958
2023-04-19,CUST1021,Clothing,T-Shirt,5,1484,South,Ethan,7420
2023-10-18,CUST1048,Furniture,Chair,3,1124,South,Bob,3372
2023-06-11,CUST1000,Stationery,Table,12,486,South,Diana,5832
2023-04-19,CUST1049,Clothing,Table,16,447,South,Bob,7152
2023-12-02,CUST1033,Stationery,Notebook,19,289,South,Ethan,5491
2023-09-13,CUST1100,Clothing,Pen,5,604,East,Bob,3020
2023-07-22,CUST1100,Furniture,Laptop,14,1314,East,Diana,18396
2023-11-26,CUST1058,Stationery,Laptop,5,1631,East,Alice,8155
2023-08-23,CUST1036,Clothing,T-Shirt,15,1492,East,Ethan,22380
2023-03-15,CUST1054,Electronics,Notebook,17,1532,South,Alice,26044
2023-05-16,CUST1089,Furniture,Table,14,923,West,Alice,12922
2023-03-13,CUST1093,Clothing,Phone,5,1028,North,Alice,5140
2023-05-07,CUST1100,Electronics,Notebook,12,1033,South,Charlie,12396
2023-10-15,CUST1071,Clothing,T-Shirt,16,1240,North,Charlie,19840
2023-10-03,CUST1084,Electronics,T-Shirt,16,233,West,Alice,3728
2023-05-15,CUST1091,Furniture,Notebook,7,157,East,Ethan,1099
2023-10-27,CUST1062,Stationery,T-Shirt,4,1679,West,Diana,6716
2023-08-08,CUST1019,Electronics,Notebook,1,784,South,Diana,784
2023-10-26,CUST1024,Clothing,Chair,5,771,East,Bob,3855
2023-07-24,CUST1037,Furniture,Notebook,10,272,South,Ethan,2720
2023-07-05,CUST1027,Electronics,Pen,5,1952,East,Charlie,9760
2023-04-23,CUST1007,Clothing,Notebook,4,914,North,Alice,3656
2023-03-12,CUST1074,Clothing,T-Shirt,2,1272,North,Bob,2544
2023-09-18,CUST1094,Clothing,Pen,10,179,North,Diana,1790
2023-09-10,CUST1069,Electronics,T-Shirt,19,985,West,Charlie,18715
2023-02-16,CUST1007,Electronics,Laptop,1,1336,South,Charlie,1336
2023-01-25,CUST1095,Electronics,Laptop,5,302,West,Alice,1510
2023-02-26,CUST1040,Stationery,Pen,13,863,North,Diana,11219
2023-03-20,CUST1007,Electronics,Chair,4,1352,South,Ethan,5408
2023-11-18,CUST1006,Electronics,Laptop,16,1799,North,Charlie,28784
2023-03-23,CUST1074,Electronics,Notebook,16,1350,West,Alice,21600
2023-12-15,CUST1061,Stationery,T-Shirt,2,1782,West,Ethan,3564
2023-08-05,CUST1064,Electronics,Laptop,17,1655,West,Diana,28135
2023-11-02,CUST1067,Clothing,Laptop,12,1564,North,Charlie,18768
2023-02-02,CUST1020,Electronics,Chair,18,1525,South,Ethan,27450
2023-07-17,CUST1007,Clothing,Pen,3,146,South,Ethan,438
2023-07-15,CUST1065,Clothing,Pen,1,1356,North,Ethan,1356
2023-11-02,CUST1010,Clothing,Table,1,1428,South,Charlie,1428
2023-08-28,CUST1023,Stationery,Chair,19,1649,North,Charlie,31331
2023-09-28,CUST1008,Stationery,Notebook,11,1266,South,Bob,13926
2023-05-09,CUST1076,Stationery,Pen,5,1538,East,Diana,7690
2023-10-11,CUST1008,Electronics,T-Shirt,12,1636,East,Alice,19632
2023-01-06,CUST1086,Clothing,Chair,3,1496,West,Ethan,4488
2023-12-15,CUST1030,Stationery,Laptop,1,1689,East,Bob,1689
2023-02-28,CUST1051,Stationery,T-Shirt,1,1382,East,Alice,1382
2023-12-16,CUST1015,Electronics,T-Shirt,8,755,East,Bob,6040
2023-10-02,CUST1072,Stationery,Laptop,10,570,North,Charlie,5700
2023-05-17,CUST1031,Electronics,Chair,11,1070,East,Ethan,11770
2023-11-25,CUST1074,Furniture,Laptop,12,1135,East,Alice,13620
2023-06-24,CUST1076,Stationery,Table,13,1453,West,Alice,18889
2023-02-27,CUST1005,Furniture,T-Shirt,12,835,East,Alice,10020
2023-05-31,CUST1079,Electronics,Phone,14,883,East,Alice,12362
2023-08-11,CUST1010,Clothing,Phone,2,1067,South,Alice,2134
2023-03-22,CUST1053,Stationery,Notebook,19,457,West,Bob,8683
2023-08-21,CUST1084,Electronics,Pen,18,1071,West,Ethan,19278
2023-01-02,CUST1074,Clothing,Laptop,3,1531,West,Charlie,4593
2023-05-15,CUST1072,Clothing,,17,767,West,Charlie,13039
2023-09-14,CUST1066,Furniture,Notebook,8,472,West,Charlie,3776
2023-04-02,CUST1040,Electronics,Notebook,10,1131,West,Charlie,11310
2023-09-17,CUST1033,Clothing,Notebook,2,1245,North,Bob,2490
2023-02-24,CUST1026,Stationery,T-Shirt,19,1471,East,Diana,27949
2023-11-17,CUST1085,Stationery,Table,9,775,West,Ethan,6975
2023-06-02,CUST1091,Furniture,Laptop,7,189,East,Alice,1323
2023-11-24,CUST1040,Clothing,T-Shirt,4,1771,East,Diana,7084
2023-09-17,CUST1030,Electronics,Notebook,18,797,North,Charlie,14346
2023-11-08,CUST1033,Stationery,Laptop,13,1439,West,Diana,18707
2023-04-12,CUST1050,Clothing,T-Shirt,11,1301,South,Ethan,14311
2023-03-20,CUST1016,Clothing,Table,4,639,North,Alice,2556
2023-07-11,CUST1085,Furniture,T-Shirt,4,831,South,Alice,3324
2023-03-24,CUST1082,Stationery,Table,10,968,East,Ethan,9680
2023-10-04,CUST1038,Stationery,Notebook,5,140,East,Ethan,700
2023-09-29,CUST1058,Electronics,Table,9,839,North,Charlie,7551
2023-01-01,CUST1040,Stationery,Laptop,3,1827,North,Alice,5481
2023-11-03,CUST1096,Electronics,Notebook,17,601,South,Diana,10217
2023-06-15,CUST1009,Stationery,Laptop,3,1058,West,Bob,3174
2023-09-08,CUST1001,Furniture,Phone,16,1268,South,Bob,20288
2023-01-10,CUST1058,Stationery,Chair,4,1324,North,Ethan,5296
2023-02-27,CUST1079,Electronics,Table,18,1028,South,Charlie,18504
2023-07-05,CUST1072,Electronics,Chair,17,1847,North,Bob,31399
2023-06-07,CUST1012,Furniture,Chair,7,560,South,Alice,3920
2023-05-03,CUST1009,Stationery,Table,5,831,North,Ethan,4155
2023-01-30,CUST1068,Stationery,Notebook,12,851,North,Diana,10212
2023-05-04,CUST1027,Furniture,Phone,17,1024,North,Ethan,17408
2023-10-18,CUST1064,Stationery,Laptop,13,1008,West,Diana,13104
2023-02-10,CUST1033,Stationery,T-Shirt,3,1681,South,Ethan,5043
2023-02-13,CUST1016,Electronics,Laptop,9,1670,South,Ethan,15030
2023-09-06,CUST1044,Stationery,T-Shirt,17,1376,South,Ethan,23392
2023-02-05,CUST1008,Stationery,Laptop,17,489,North,Diana,8313
2023-09-30,CUST1031,Furniture,Table,16,1717,South,Diana,27472
2023-03-06,CUST1047,Furniture,Phone,13,982,South,Ethan,12766
2023-03-07,CUST1036,Clothing,T-Shirt,19,355,North,Bob,6745
2023-12-04,CUST1020,Electronics,Pen,17,808,East,Charlie,13736
2023-09-01,CUST1056,Stationery,Notebook,4,1938,North,Charlie,7752
2023-07-09,CUST1043,Clothing,Notebook,8,1450,South,Charlie,11600
2023-10-15,CUST1015,Electronics,Chair,17,990,East,Charlie,16830
2023-02-19,CUST1030,Clothing,Laptop,2,757,South,Charlie,1514
2023-06-15,CUST1009,Stationery,Laptop,3,1058,West,Bob,3174
2023-04-21,CUST1008,Electronics,T-Shirt,14,1286,West,Ethan,18004
